"","baseMean","log2FoldChange","lfcSE","pvalue","padj","sig","pct_in_1","pct_in_2"
"Gm11944",1.85646296157405,-0.0405879770662885,0.117808485463865,0.00299951861460162,0.0527368031809906,"Not significant",6.46412411118294,4.76510067114094
"Pik3ip1",0.896926526079009,-0.0156703333890313,0.107587035309893,0.0974640579305773,NA,"Not significant",4.07239819004525,4.56375838926174
"Limk2",5.18461510768456,-0.00695887553403331,0.10582731723978,0.00743309690870672,0.0743886986231669,"Not significant",15.4492566257272,17.5167785234899
"Rnf185",4.35702474985049,-0.0949176707868273,0.141995998541565,0.0214181916389006,0.116589805130634,"Not significant",20.2327084680026,21.2751677852349
"8430429K09Rik",1.3068881841656,-0.00695133962290121,0.106895747838069,0.0552652224015484,0.180171123291777,"Not significant",5.17129928894635,5.30201342281879
"Selenom",23.086393689619,-0.00102049727377034,0.10011356396254,0.428850692392452,0.533322354856209,"Not significant",60.6334841628959,67.3825503355705
"Smtn",1.70701769922211,-0.0507542243694191,0.120836492570195,0.0305459214288693,0.137275225427145,"Not significant",7.82159017453135,7.78523489932886
"Tug1",6.26429852453637,-0.483963432949398,0.243495572844043,0.000875850271202405,0.0268672988598576,"Significant",30.2521008403361,28.7248322147651
"Morc2a",3.72052197660584,-0.0194230166494437,0.0993638376808903,0.656729578918981,0.705711408442814,"Not significant",19.6509372979961,21.5436241610738
"Slc35e4",4.8866797524133,-0.0104826557194854,0.103385437423321,0.0672792295125925,0.196307256434232,"Not significant",17.6470588235294,21.4765100671141
"Tcn2",22.0941629015923,0.00876031660553705,0.0953605992398198,0.843106968233403,0.859171755836414,"Not significant",65.546218487395,72.3489932885906
"Pes1",8.114406817072,-0.0526071015030268,0.107556923273395,0.186943393561956,0.330294534545763,"Not significant",36.3930187459599,44.0268456375839
"Rnf215",4.91991965251244,-0.00309744655795399,0.101599474789685,0.256306104090255,0.394361628751613,"Not significant",21.3962508080155,24.6979865771812
"Sf3a1",6.45130597676703,0.0328469062452682,0.100222868174142,0.396515689509156,0.507091388790284,"Not significant",26.6968325791855,37.1812080536913
"Tbc1d10a",4.98532030088147,-0.0247627030252617,0.100907480385092,0.173283899916939,0.316880213696429,"Not significant",22.2365869424693,25.8389261744966
"Castor1",1.01566451768964,-0.0238699391702417,0.10923848590873,0.426131513192795,0.531169421264723,"Not significant",5.81771170006464,7.24832214765101
"Osm",0.706129458319902,0.00572815663807658,0.106202761159509,0.0100675230902953,NA,"Not significant",5.88235294117647,7.71812080536913
"Mtmr3",29.6606942308417,0.0597154623291821,0.104263711937696,0.190218500217557,0.333347397447648,"Not significant",76.2766645119586,81.744966442953
"Ascc2",6.56835423439283,-0.00512308889239133,0.0845998293133699,0.676986512711956,0.721483278805699,"Not significant",29.6703296703297,35.8389261744966
"Uqcr10",70.822575939977,0.0950625647690715,0.0980415135823027,0.125507903900976,0.267550131016699,"Not significant",89.786683904331,95.4362416107383
"Zmat5",13.2425565757267,0.0584323202553273,0.0876318051259965,0.119036957348099,0.260120848130649,"Not significant",48.2223658694247,63.0201342281879
"Nf2",7.31213174534009,-0.0093427103146158,0.0958296464990739,0.515919448589987,0.599558267047408,"Not significant",32.9023917259211,40.0671140939597
